744860,NEW YORK J F KENNEDY INT'L AR,NY,-5,40.65,-73.8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/1999,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,B,8,7,B,8,-4.4,A,7,-9.4,A,7,65,A,7,1018,A,7,260,A,7,7.2,A,7,16000,B,7,4267,A,7,0.6,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,268.6
1/1/1999,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-4.4,A,7,-8.9,A,7,68,A,7,1018,A,7,270,A,7,5.2,A,7,16000,B,7,4267,A,7,0.6,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,268.5543454
1/1/1999,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,-3.9,A,7,-9.4,A,7,62,A,7,1018,A,7,260,A,7,6.7,A,7,16000,B,7,3048,A,7,0.6,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,268.7117494
1/1/1999,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,A,7,-3.3,A,7,-10,A,7,56,A,7,1018,A,7,270,A,7,7.2,A,7,16000,B,7,3658,A,7,0.6,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,268.3661069
1/1/1999,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-3.3,A,7,-9.4,A,7,59,A,7,1018,A,7,270,A,7,9.3,A,7,16000,B,7,3353,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,268.4108446
1/1/1999,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,8,E,9,8,E,9,-3.9,A,7,-9.4,A,7,62,A,7,1018,A,7,260,A,7,6.7,A,7,16000,B,7,3048,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,269.5193091
1/1/1999,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-4.4,A,7,-8.9,A,7,68,A,7,1018,A,7,250,A,7,6.2,A,7,16000,B,7,77777,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,267.4268977
1/1/1999,8:00,46,931,5,2,9,98,2,21,3,2,9,9,2,9,56,2,21,6,2,9,11,2,25,4,E,9,4,E,9,-3.3,A,7,-9.4,A,7,59,A,7,1019,A,7,260,A,7,8.8,A,7,16000,B,7,77777,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,267.9032243
1/1/1999,9:00,246,1415,131,2,9,345,2,21,70,2,9,133,2,9,241,2,21,90,2,9,130,2,25,3,E,9,3,E,9,-2.8,A,7,-11.1,A,7,49,A,7,1020,A,7,270,A,7,9.3,A,7,16000,B,7,77777,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,268.5971766
1/1/1999,10:00,426,1415,270,2,9,577,2,21,95,2,9,274,2,9,502,2,21,122,2,9,168,2,25,3,E,9,3,E,9,-2.2,A,7,-13.3,A,7,38,A,7,1021,A,7,290,A,7,10.3,A,7,16000,B,7,77777,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,272.0426978
1/1/1999,11:00,553,1415,346,2,9,501,2,21,149,2,9,358,2,9,477,2,21,171,2,9,295,2,25,5,E,9,5,E,9,-1.1,A,7,-13.3,A,7,35,A,7,1021,A,7,260,A,7,9.8,A,7,16000,B,7,77777,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,272.7448785
1/1/1999,12:00,618,1415,264,2,9,139,2,21,203,2,9,286,2,9,139,2,21,225,2,9,486,2,25,8,E,9,8,E,9,-1.7,A,7,-14.4,A,7,33,A,7,1021,A,7,280,A,7,8.8,A,7,16000,B,7,1676,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,269.5244653
1/1/1999,13:00,617,1415,390,2,9,347,2,21,239,2,9,407,2,9,349,2,21,254,2,9,555,2,25,8,E,9,8,E,9,-2.2,A,7,-15,A,7,32,A,7,1022,A,7,290,A,7,9.3,A,7,16000,B,7,1829,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,272.1889794
1/1/1999,14:00,549,1415,74,2,9,0,2,21,74,2,9,88,2,9,0,2,21,88,2,9,326,2,25,8,E,9,8,E,9,-3.3,A,7,-12.2,A,7,46,A,7,1023,A,7,300,A,7,7.7,A,7,16000,B,7,1829,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,270.5066014
1/1/1999,15:00,420,1415,207,2,9,260,2,21,129,2,9,217,2,9,233,2,21,147,2,9,265,2,25,5,E,9,5,E,9,-2.8,A,7,-15.6,A,7,32,A,7,1023,A,7,290,A,7,9.8,A,7,16000,B,7,77777,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,270.9099565
1/1/1999,16:00,238,1415,72,2,9,54,2,21,62,2,9,78,2,9,42,2,21,71,2,9,152,2,25,4,E,9,4,E,9,-2.8,A,7,-18.9,A,7,24,A,7,1025,A,7,330,A,7,7.7,A,7,16000,B,7,77777,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,269.4279783
1/1/1999,17:00,40,861,5,2,9,53,2,21,4,2,9,8,2,9,24,2,21,6,2,9,8,2,25,5,E,9,5,E,9,-5,A,7,-16.7,A,7,35,A,7,1027,A,7,330,A,7,9.3,A,7,16000,B,7,77777,A,7,0.7,E,8,0.088,F,8,0.16,F,8,0,1,D,9,0,C,8,270.1938135
