744915,WESTFIELD BARNES MUNI AP,MA,-5,42.15,-72.717,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code),PresWth (METAR code),PresWth source,PresWth uncert (code),
1/1/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,4,E,9,4,E,9,5,A,7,-4,A,7,50,A,7,1005,A,7,310,A,7,10.8,A,7,16100,B,7,77777,A,7,0.7,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,278
1/1/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,4,A,7,-7,A,7,42,A,7,1007,A,7,350,A,7,6.7,A,7,16100,B,7,77777,A,7,0.7,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,277.6299098
1/1/2004,3:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,3,A,7,-7,A,7,45,A,7,1008,A,7,320,A,7,8.2,A,7,16100,B,7,77777,A,7,0.7,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,274.4451782
1/1/2004,4:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,2,A,7,-7,A,7,48,A,7,1009,A,7,350,A,7,7.2,A,7,16100,B,7,77777,A,7,0.6,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,275.3695339
1/1/2004,5:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,1,E,9,1,E,9,2,A,7,-7,A,7,48,A,7,1010,A,7,340,A,7,4.1,A,7,16100,B,7,77777,A,7,0.6,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,273.5738524
1/1/2004,6:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-7,A,7,48,A,7,1011,A,7,330,A,7,4.6,A,7,16100,B,7,1410,A,7,0.6,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,273.6256787
1/1/2004,7:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,10,E,9,2,A,7,-7,A,7,48,A,7,1011,A,7,320,A,7,6.7,A,7,16100,B,7,1350,A,7,0.6,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,273.6503584
1/1/2004,8:00,44,908,3,2,9,12,2,21,3,2,9,4,2,9,4,2,21,4,2,9,5,2,25,10,E,9,10,E,9,3,A,7,-6,A,7,49,A,7,1013,A,7,320,A,7,5.7,A,7,16100,B,7,1290,A,7,0.6,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,274.003197
1/1/2004,9:00,236,1415,79,2,9,41,2,21,72,2,9,86,2,9,32,2,21,81,2,9,169,2,25,9,E,9,9,E,9,3,A,7,-6,A,7,49,A,7,1014,A,7,340,A,7,5.1,A,7,16100,B,7,1230,A,7,0.7,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,274.1499481
1/1/2004,10:00,408,1415,180,2,9,182,2,21,127,2,9,194,2,9,163,2,21,147,2,9,283,2,25,10,E,9,10,E,9,3,A,7,-6,A,7,49,A,7,1014,A,7,340,A,7,6.2,A,7,16100,B,7,1230,A,7,0.8,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,274.3100323
1/1/2004,11:00,528,1415,64,2,9,0,2,21,64,2,9,77,2,9,0,2,21,77,2,9,284,2,25,10,E,9,10,E,9,3,A,7,-5,A,7,53,A,7,1014,A,7,340,A,7,5.1,A,7,16100,B,7,1230,A,7,0.8,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,274.3374322
1/1/2004,12:00,587,1415,67,2,9,0,2,21,67,2,9,81,2,9,0,2,21,81,2,9,306,2,25,10,E,9,10,E,9,4,A,7,-6,A,7,45,A,7,1014,A,7,330,A,7,5.7,A,7,16100,B,7,1290,A,7,0.8,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,274.4838514
1/1/2004,13:00,581,1415,365,2,9,466,2,21,173,2,9,375,2,9,448,2,21,190,2,9,351,2,25,10,E,9,10,E,9,4,A,7,-5,A,7,49,A,7,1014,A,7,330,A,7,6.2,A,7,16100,B,7,1290,A,7,0.8,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,277.1671728
1/1/2004,14:00,510,1415,310,2,9,566,2,21,105,2,9,317,2,9,519,2,21,129,2,9,195,2,25,10,E,9,10,E,9,4,A,7,-5,A,7,49,A,7,1014,A,7,350,A,7,6.7,A,7,16100,B,7,1290,A,7,0.8,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,280.3557109
1/1/2004,15:00,379,1415,230,2,9,598,2,21,69,2,9,237,2,9,509,2,21,100,2,9,126,2,25,0,E,9,0,E,9,3,A,7,-5,A,7,53,A,7,1014,A,7,340,A,7,6.2,A,7,16100,B,7,77777,A,7,0.8,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,282.4671639
1/1/2004,16:00,199,1415,97,2,9,379,2,21,44,2,9,98,2,9,246,2,21,64,2,9,76,2,25,10,E,9,10,E,9,3,A,7,-5,A,7,53,A,7,1015,A,7,330,A,7,4.6,A,7,16100,B,7,1290,A,7,0.8,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,281.798558
1/1/2004,17:00,22,649,0,2,9,0,2,21,0,2,9,0,2,9,0,2,21,0,2,9,0,2,25,7,E,9,6,E,9,2,A,7,-4,A,7,62,A,7,1015,A,7,320,A,7,2.1,A,7,16100,B,7,77777,A,7,0.8,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,278.1607644
1/1/2004,18:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,7,E,9,1,A,7,-5,A,7,61,A,7,1016,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.7,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,274.9629191
1/1/2004,19:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,A,7,1,A,7,-4,A,7,67,A,7,1016,A,7,360,A,7,1.5,A,7,16100,B,7,77777,A,7,0.7,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,273.3896165
1/1/2004,20:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,8,E,9,-1,A,7,-4,A,7,78,A,7,1016,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.8,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,272.2774371
1/1/2004,21:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,9,E,9,8,E,9,-2,A,7,-4,A,7,85,A,7,1016,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,0.9,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,271.06406
1/1/2004,22:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,10,E,9,9,E,9,-1,A,7,-4,A,7,78,A,7,1016,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,270.6947568
1/1/2004,23:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,6,E,9,6,E,9,-3,A,7,-5,A,7,84,A,7,1016,A,7,170,A,7,2.1,A,7,16100,B,7,77777,A,7,1,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,270.0684534
1/1/2004,24:00:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,3,E,9,3,E,9,-3,A,7,-5,A,7,84,A,7,1016,A,7,0,A,7,0,A,7,16100,B,7,77777,A,7,1.1,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,269.4179661
1/2/2004,1:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,E,9,0,E,9,-3,A,7,-6,A,7,77,A,7,1015,A,7,250,A,7,1.5,A,7,16100,B,7,77777,A,7,1.1,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,269.082924
1/2/2004,2:00,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,0,5,E,9,5,E,9,-4,A,7,-6,A,7,84,A,7,1015,A,7,150,A,7,1.5,A,7,16100,B,7,77777,A,7,1.1,E,8,0.095,F,8,0.24,F,8,0,1,D,9,0,C,8,268.6247038
